name,country,latitude,longitude,near_hotspot,hotspot_info
حضانة الأم الحنون,Palestine,31.272345,34.256683,True,Khan Yunis (9 events)
Kindergarden,Palestine,31.722772,35.170833,True,Bethlehem (68 events)
גן אורן,Palestine,32.004439,34.948072,False,
Salah Al-Deen Kindergarten,Palestine,31.502479,34.426111,True,Deir El Balah (3 events)
مدرسة خزاعة الابتدائية المشتركة للاجئين,Palestine,31.308013,34.361074,True,Khan Yunis (9 events)
Affaq Kindergarten,Palestine,31.458511,34.389221,True,Deir El Balah (3 events)
مدرسة الفاضلية الثانوية للبنين,Palestine,32.31308,35.023657,True,Tulkarm (40 events)
מוסד הרב קוק,Palestine,31.788795,35.199063,True,Bethlehem (68 events)
Heteen School For Girls,Palestine,32.151106,35.04386,True,Qalqilya (66 events)
ישיבת עוד יוסף חי,Palestine,32.171726,35.236124,True,Nablus (156 events)
مدرسة الجامعة,Palestine,31.539376,35.103165,True,Hebron (147 events)
ישיבת אור שמואל,Palestine,31.790194,35.210821,True,Bethlehem (68 events)
אולפנת רעיה,Palestine,31.94474,35.226364,True,Al Quds (93 events)
روضة جنة الصغار,Palestine,31.493912,34.475395,True,Deir El Balah (3 events)
مدرسة صفا الاساسية للبنات,Palestine,31.905764,35.060578,False,
مدرسة النبي صالح الثانوية المختلطة,Palestine,32.019128,35.124805,True,Salfit (50 events)
المعهد الديني الأزهري,Palestine,31.515194,34.439124,True,Deir El Balah (3 events)
Tura High School For Boys,Palestine,32.466716,35.159554,False,
مدرسة دير اللاتين,Palestine,31.501735,34.464053,True,Deir El Balah (3 events)
Yeshivas Bais Yisrael,Palestine,31.840362,35.247746,True,Al Quds (93 events)
Gaza Society College for the Tourism Studies,Palestine,31.516848,34.434086,True,Deir El Balah (3 events)
روضة السعيد الإسلامية,Palestine,31.497185,34.464376,True,Deir El Balah (3 events)
Shomo'a Beit Egza kindergarten,Palestine,31.847452,35.152105,True,Al Quds (93 events)
Beita Girls Elementary School,Palestine,32.143999,35.285778,False,
Beita Mixed Elementary School,Palestine,32.142151,35.283508,False,
مدرسة سفارين الثانوية المختلطةمدرسة سفارين الاساسية المختلطة,Palestine,32.260588,35.109327,True,Tulkarm (40 events)
Kafa Mixed Elementary School,Palestine,32.292542,35.04981,True,Tulkarm (40 events)
Atil Boys Elementary School,Palestine,32.368552,35.070051,True,Tulkarm (40 events)
Al-Ansar Girls Elementary School,Palestine,31.453442,35.108173,True,Hebron (147 events)
Sarta Secondary School For Boys,Palestine,32.103221,35.089875,True,Salfit (50 events)
Sarta Secondary School For Girls,Palestine,32.102691,35.093511,True,Salfit (50 events)
Ain Yabrud Girls Secondary School,Palestine,31.954805,35.249078,True,Al Quds (93 events)
Kafr Sur Girls Elementary School,Palestine,32.243955,35.067171,True,Tulkarm (40 events)
Kafr Sur Mixed Secondary School,Palestine,32.244205,35.061827,True,Tulkarm (40 events)
Qusin Mixed Secondary School,Palestine,32.241167,35.188919,True,Nablus (156 events)
Madama Boys Secondary School,Palestine,32.184178,35.232957,True,Nablus (156 events)
Abwein High School,Palestine,32.030478,35.204965,True,Salfit (50 events)
مدرسة طوباس الثانويه للبنين,Palestine,32.322402,35.376892,True,Tubas (14 events)
Abwein Elementary School,Palestine,32.030494,35.205759,True,Salfit (50 events)
كلية العروب الزراعية,Palestine,31.626181,35.129557,False,
حضانة سنو وايت,Palestine,31.508319,34.431259,True,Deir El Balah (3 events)
כרמל קדם,Palestine,31.807328,35.15447,True,Ramallah and Al Bireh (150 events)
גן הבושם,Palestine,31.796335,35.133802,False,
כרמל,Palestine,31.807373,35.154499,True,Ramallah and Al Bireh (150 events)
תבור,Palestine,31.807162,35.154326,True,Ramallah and Al Bireh (150 events)
גן ילדים,Palestine,31.724239,35.169303,True,Bethlehem (68 events)
مدرسة الجلمة للذكور,Palestine,32.506258,35.317888,True,Jenin (43 events)
מרכז רבדים לטיפוח ילדים מחוננים,Palestine,32.008133,34.950327,False,
"בי""ס שועפאט",Palestine,31.815728,35.230725,True,Al Quds (93 events)
Sanniriya Boys School,Palestine,32.128156,35.045071,True,Qalqilya (66 events)
Surda Girls Elementary School,Palestine,31.945487,35.201843,True,Al Quds (93 events)
Atil Girls Elementary School,Palestine,32.370052,35.073974,True,Tulkarm (40 events)
مدرسة بديا الاساسية للبنات,Palestine,32.11451,35.081313,False,
مدرسة بديا الاساسية للبنين,Palestine,32.114465,35.081824,True,Salfit (50 events)
مدرسة ذكور بديا الثانوية,Palestine,32.120548,35.07361,False,
ישיבת אור דוד,Palestine,31.821292,35.195412,True,Al Quds (93 events)
,Palestine,31.77375,35.236826,True,Bethlehem (68 events)
ישיבת ויז'ניץ,Palestine,31.940294,35.04479,False,
كلية الريان للطب المكمل,Palestine,31.785961,35.231302,True,Bethlehem (68 events)
كلية الانوار,Palestine,31.786186,35.23178,True,Bethlehem (68 events)
المهندس اسماعيل طه,Palestine,31.837657,35.121869,True,Al Quds (93 events)
روضة براعم الأيمان,Palestine,31.531914,35.095013,True,Hebron (147 events)
Al-Eman kindergarten,Palestine,32.465907,35.298742,True,Jenin (43 events)
روضة منيه,Palestine,31.771694,35.241009,True,Bethlehem (68 events)
مدرسة الوكالة للبنات,Palestine,31.80974,35.246054,True,Ramallah and Al Bireh (150 events)
مدرسة شعفاط الابتدائية,Palestine,31.810222,35.243738,True,Al Quds (93 events)
