year,indicator_code,indicator_label,unit,source,angle,value
2002,SE.XPD.TOTL.GB.ZS,Education expenditure (% of govt spend),%,worldbank,expenditure,7.05630016326904
2002,SE.XPD.TOTL.GD.ZS,Education expenditure (% of GDP),%,worldbank,expenditure,2.55271005630493
2002,SL.UEM.1524.ZS,Youth unemployment rate (%),%,worldbank,economic,20.473
2002,SL.UEM.TOTL.ZS,Unemployment rate (%),%,worldbank,economic,8.248
2002,SM.POP.NETM,Net migration (count),count,worldbank,displacement,-21543
2003,CME_MRY0T4,Under-5 mortality rate,per 1k,unicef,wellbeing,17.0192420215892
2003,NY.GDP.PCAP.CD,GDP per capita (USD),USD,worldbank,economic,4437.71588507526
2003,ROFST.1.CP,"Out-of-school rate, primary (%)",%,uis,access,21.85791969299316
2003,SE.PRM.CMPT.FE.ZS,Female primary completion rate (%),%,worldbank,gender,75.4977874755859
2003,SE.PRM.CMPT.MA.ZS,Male primary completion rate (%),%,worldbank,gender,70.314208984375
2003,SE.PRM.CMPT.ZS,Primary completion rate (%),%,worldbank,learning,72.8481597900391
2003,SE.PRM.ENRL.TC.ZS,"Pupil-teacher ratio, primary",ratio,worldbank,teacher,17.36837
2003,SE.PRM.ENRR,"Primary enrollment, gross (%)",%,worldbank,access,86.7726821899414
2003,SE.PRM.TCHR,Teachers in primary (count),count,worldbank,teacher,27163
2003,SE.PRM.UNER,"Out-of-school children, primary (count)",count,worldbank,access,118840
2003,SE.PRM.UNER.FE.ZS,"Out-of-school girls, primary (%)",%,worldbank,gender,21.6756191253662
2003,SE.PRM.UNER.MA.ZS,"Out-of-school boys, primary (%)",%,worldbank,gender,22.0325908660889
2003,SE.PRM.UNER.ZS,"Out-of-school children, primary (%)",%,worldbank,access,21.8579196929932
2003,SE.SEC.CMPT.LO.ZS,Lower secondary completion rate (%),%,worldbank,learning,54.7380905151367
2003,SE.SEC.ENRL.TC.ZS,"Pupil-teacher ratio, secondary",ratio,worldbank,teacher,7.80251
