name,amenity,country,iso3,source,latitude,longitude,addr_city,operator,building,near_hotspot,hotspot_info
ဖအိုင်း အမက,school,Myanmar,MMR,HOTOSM/OSM,20.872069,94.431236,,,,False,
အထကခွဲ(၂) မြို့မ,school,Myanmar,MMR,HOTOSM/OSM,20.149574,94.919001,,,,False,
ပြတောက် အလက,school,Myanmar,MMR,HOTOSM/OSM,20.693038,94.46467,,,,False,
ထားဝယ်မူလတန်းကြိုကျောင်း,kindergarten,Myanmar,MMR,HOTOSM/OSM,14.082943,98.189151,,,,False,
အလယ်တန်းကျောင်း,school,Myanmar,MMR,HOTOSM/OSM,20.145473,94.921186,,,,False,
Basic Education High School Branch (O Yin),school,Myanmar,MMR,HOTOSM/OSM,21.425861,94.834615,,,,False,
မင်းကန် မူလတန်းကျောင်း,school,Myanmar,MMR,HOTOSM/OSM,20.49619,94.625696,,,,False,
Hsu English Language School,school,Myanmar,MMR,HOTOSM/OSM,16.812526,96.168706,,,,False,
အ.မ.က(၂၇)အင်းစိန် B.E.P.S (27) Insein,school,Myanmar,MMR,HOTOSM/OSM,16.912057,96.104802,,,,False,
အ.မ.က (၂၅) ေျမာက္ဥကၠလာပ B.E.P.S (25) North Okkakapa,school,Myanmar,MMR,HOTOSM/OSM,16.901906,96.166253,,,,False,
မန်းဇုံ အမက,school,Myanmar,MMR,HOTOSM/OSM,20.050224,94.519319,,,,False,
အမက ၂၁ B.E.P.S 21,school,Myanmar,MMR,HOTOSM/OSM,16.871499,96.046175,,,,False,
အမက ၃၉ B.E.P.S 39,school,Myanmar,MMR,HOTOSM/OSM,16.883824,96.052175,,,,False,
အမက ၂၆  B.E.P.S 26,school,Myanmar,MMR,HOTOSM/OSM,16.875304,96.045748,,,,False,
ပန်တော်ကျင်း အမက,school,Myanmar,MMR,HOTOSM/OSM,20.548499,94.494589,,,,False,
ZMA Private School,school,Myanmar,MMR,HOTOSM/OSM,16.887379,96.109243,,,,False,
မကျီးထူး အမက,school,Myanmar,MMR,HOTOSM/OSM,20.745771,94.570622,,,,False,
ဘူးခါး အမက,school,Myanmar,MMR,HOTOSM/OSM,20.600943,94.49611,,,,False,
အ.မ.က(၁၇) မူလတန္းေက်ာင္း ေျမာက္ဥကၠလာ B.EP.S (17) North Okkalarpa,school,Myanmar,MMR,HOTOSM/OSM,16.919776,96.170384,,,,False,
မကျီးကုန်း အမအ,school,Myanmar,MMR,HOTOSM/OSM,20.627096,94.705719,,,,False,
အနောက်မကျီးကုန်း မူလတန်းကျောင်း,school,Myanmar,MMR,HOTOSM/OSM,20.648693,94.440456,,,,False,
မကျီးစင် အမက,school,Myanmar,MMR,HOTOSM/OSM,20.862418,94.397203,,,,False,
အထက,school,Myanmar,MMR,HOTOSM/OSM,22.689333,95.323807,,,,False,
ထလုပ်မြို့ အခြေခံပညာအထက်တန်းကျောင်း,school,Myanmar,MMR,HOTOSM/OSM,21.569692,95.381452,,,,False,
Basic Education Primary School (Hma Yoe Kone),school,Myanmar,MMR,HOTOSM/OSM,20.480925,94.772241,,,,False,
မြောင်းဘောင် အမက,school,Myanmar,MMR,HOTOSM/OSM,20.675297,94.686633,,,,False,
kaung htet kyaw pirvate highschool,school,Myanmar,MMR,HOTOSM/OSM,16.808568,96.166854,,,,False,
BEHS,school,Myanmar,MMR,HOTOSM/OSM,21.935524,95.217668,,,,False,
မြောင်းကြား အမက,school,Myanmar,MMR,HOTOSM/OSM,20.586652,94.539307,,,,False,
အလက ၆ Basic Education Middle School 6,school,Myanmar,MMR,HOTOSM/OSM,17.003181,96.057911,,,,False,
အ.ထ.က (မင်းကွက်),school,Myanmar,MMR,HOTOSM/OSM,18.487646,95.499329,,,,False,
အ.လ.က (ပျဥ်းပင်ကန်),school,Myanmar,MMR,HOTOSM/OSM,18.50227,95.515462,,,,False,
အမက၊ (၃၈) လမ်း,school,Myanmar,MMR,HOTOSM/OSM,18.494771,95.512243,,,,False,
Paungde Basic Education High School,school,Myanmar,MMR,HOTOSM/OSM,18.48481,95.511797,,,,False,
Kyal Sin Private School (Mya Moe Thauk),school,Myanmar,MMR,HOTOSM/OSM,22.019443,96.472812,,,,False,
ပျိုးခင်းကုန်း အလက,school,Myanmar,MMR,HOTOSM/OSM,20.578538,94.741854,,,,False,
Tan Soe School,school,Myanmar,MMR,OSM,21.58532,96.1215,,,,False,
Taung Yin School,school,Myanmar,MMR,OSM,21.67174,96.13395,,,,False,
Unity Private School,school,Myanmar,MMR,OSM,21.59501,96.14354,,,,False,
"Basic Education Middle School,Khkuk Khu(အလက-ခေါက်ခူ)",school,Myanmar,MMR,HOTOSM/OSM,22.085244,94.125907,,,,False,
ပျောင်းခင်း အထက,school,Myanmar,MMR,HOTOSM/OSM,20.846432,94.43389,,,,False,
KMD computer training center,school,Myanmar,MMR,HOTOSM/OSM,22.950251,97.742628,,,,False,
ပေါင်းတူး အထက,school,Myanmar,MMR,HOTOSM/OSM,20.552862,94.583613,,,,False,
ပေါင်းဆည် အမက,school,Myanmar,MMR,HOTOSM/OSM,20.579797,94.597804,,,,False,
ဖလူး အမက,school,Myanmar,MMR,HOTOSM/OSM,20.896616,94.610568,,,,False,
သီလရွာ မူလတန်းလွန်ကျောင်း,school,Myanmar,MMR,HOTOSM/OSM,19.980501,95.567097,,,,False,
ထနောင်းကုန်း အမက,school,Myanmar,MMR,HOTOSM/OSM,20.605149,94.618634,,,,False,
ထနောင်းကုန်း အထက,school,Myanmar,MMR,HOTOSM/OSM,20.614205,94.719204,,,,False,
တောင်ဖီလာ အမက,school,Myanmar,MMR,HOTOSM/OSM,20.89089,94.679641,,,,False,
တောင်ဘိုရွာသစ် အမက,school,Myanmar,MMR,HOTOSM/OSM,20.767781,94.609479,,,,False,
တောင်ရွာထန်းတော အမက,school,Myanmar,MMR,HOTOSM/OSM,20.556395,94.689237,,,,False,
မကြီးစင် အမက,school,Myanmar,MMR,HOTOSM/OSM,20.828521,94.658875,,,,False,
နတ်တပ် (နဒပ်) အမက,school,Myanmar,MMR,HOTOSM/OSM,20.779719,94.663354,,,,False,
ဗိုလ်ကုန်း အမက,school,Myanmar,MMR,HOTOSM/OSM,20.800603,94.658094,,,,False,
ဘန့်ပြင် (ပန်းပြင်) အမက,school,Myanmar,MMR,HOTOSM/OSM,20.605531,94.56019,,,,False,
ဘိုးတော်စန်း အမက,school,Myanmar,MMR,HOTOSM/OSM,20.719663,94.485187,,,,False,
နှမ်းခါး အထက,school,Myanmar,MMR,HOTOSM/OSM,22.551791,94.082274,,,,False,
ဖောင်းလင်း အလက,school,Myanmar,MMR,HOTOSM/OSM,20.519858,94.725679,,,,False,
အခြေခံပညာအလယ်တန်းကျောင်း၊ ကျွဲထိန်းကုန်း,school,Myanmar,MMR,HOTOSM/OSM,12.110557,99.104563,,,,False,
အ.မ.က(၁၁),school,Myanmar,MMR,HOTOSM/OSM,21.246989,96.870394,,,,False,
မူလတန်းကျောင်း,school,Myanmar,MMR,HOTOSM/OSM,20.571512,94.701664,,,,False,
No 10 B.E.M.S,school,Myanmar,MMR,HOTOSM/OSM,21.904573,96.052337,,,,False,
ကျောက်ဖျာ အခြေခံပညာမူလတန်းကျောင်း,school,Myanmar,MMR,HOTOSM/OSM,17.329505,97.465618,,,,False,
ငှက်ပျောအိုင် အလက,school,Myanmar,MMR,HOTOSM/OSM,20.594812,94.716031,,,,False,
ငလင်ပန်း အမက,school,Myanmar,MMR,HOTOSM/OSM,20.585291,94.614977,,,,False,
ခရေကုန်း အမက,school,Myanmar,MMR,HOTOSM/OSM,20.601101,94.643811,,,,False,
ချောင်းကူး အထက,school,Myanmar,MMR,HOTOSM/OSM,20.741803,94.434733,,,,False,
ချောင်းဖြူ အမက,school,Myanmar,MMR,HOTOSM/OSM,20.594669,94.705956,,,,False,
ချောင်းရေတက် အမက,school,Myanmar,MMR,HOTOSM/OSM,20.909841,94.626393,,,,False,
ခြောက်ပင်ကျွန်း အမက,school,Myanmar,MMR,HOTOSM/OSM,20.561736,94.782498,,,,False,
ငွေတောင် အထက,school,Myanmar,MMR,HOTOSM/OSM,20.488394,94.731968,,,,False,
ဂုံညှင်းတောင် အမက,school,Myanmar,MMR,HOTOSM/OSM,20.534281,94.482548,,,,False,
ဂုံညှင်းနွယ် အမက,school,Myanmar,MMR,HOTOSM/OSM,20.721284,94.458727,,,,False,
ဂွင့်ကျင်း အလက,school,Myanmar,MMR,HOTOSM/OSM,20.551272,94.524379,,,,False,
"အမှတ်(၁၁)အခြေခံပညာမူလတန်းကျောင်း၊လှုိင်မြိုနယ် No(11),Basic Education Primary School, Hlaing",school,Myanmar,MMR,HOTOSM/OSM,16.851038,96.1193,,,,False,
သူနာပြုသင်တန်းကျောင်း,school,Myanmar,MMR,HOTOSM/OSM,14.077989,98.201493,,,,False,
မိချောင်းအိုင် မူကြိုကျောင်း,kindergarten,Myanmar,MMR,HOTOSM/OSM,17.139243,97.356375,,,,False,
အထက (၃),school,Myanmar,MMR,OSM,20.1608,94.9441,,,,False,
အလူး မူကြို,kindergarten,Myanmar,MMR,HOTOSM/OSM,17.258739,97.156542,,,,False,
အခြေခံပညာအထက်တန်းကျောင်း ( ရွာသစ်),school,Myanmar,MMR,HOTOSM/OSM,21.063876,95.866273,,,,False,
High School,school,Myanmar,MMR,HOTOSM/OSM,17.050848,97.30761,,,,False,
ေကာင္းစုစံ ကိုယ္ပိုင္ေက်ာင္း,school,Myanmar,MMR,HOTOSM/OSM,16.962753,96.096778,,,,False,
အ.မ.က (၂၈) အင်းစိန် B.E.P.S (28) Insein,school,Myanmar,MMR,HOTOSM/OSM,16.922228,96.097015,,,,False,
"အမှတ်(၃)အခြေခံပညာအထက်တန်းကျောင်း No(3),Basic Education High School, Hlaing",school,Myanmar,MMR,HOTOSM/OSM,16.853456,96.118933,,,,False,
No. ! Primary School,school,Myanmar,MMR,HOTOSM/OSM,17.796421,96.670733,,,,False,
Nay lin ag finance,school,Myanmar,MMR,HOTOSM/OSM,16.834372,96.127655,,,,False,
ရွမ္းသီလရွင္ေက်ာင္း,school,Myanmar,MMR,HOTOSM/OSM,21.904387,96.08459,,,,False,
MCC Paung ကွန်ပြူတာသင်တန်းကျောင်း,school,Myanmar,MMR,HOTOSM/OSM,16.696703,97.425371,,,,False,
အင်းပိုင်း အခြေခံပညာမူလတန်းလွန်ကျောင်း,school,Myanmar,MMR,HOTOSM/OSM,16.70826,97.422321,,,,False,
MYANMAR INFO TECH MICT Park,school,Myanmar,MMR,HOTOSM/OSM,16.849723,96.128991,,,,False,
FEC Private High School,,Myanmar,MMR,HOTOSM/OSM,21.136999,94.864089,,,school,False,
Primary School,school,Myanmar,MMR,HOTOSM/OSM,20.012411,94.302057,,,,False,
Primary School,school,Myanmar,MMR,HOTOSM/OSM,20.010978,94.332023,,,,False,
"အခြေခံပညာအထက်တန်းကျောင်းခွဲ (ပဒါန်း) , BEHS (Pa Dan)",school,Myanmar,MMR,HOTOSM/OSM,19.983351,94.54495,,,,False,
primery school,school,Myanmar,MMR,HOTOSM/OSM,19.9972,94.351184,,,,False,
အ.မ.က ပေါက်တောပလောင် (ရခိုင်),school,Myanmar,MMR,HOTOSM/OSM,20.755167,92.972167,,,,False,
"No.(5), Basic Education Middle School",school,Myanmar,MMR,HOTOSM/OSM,16.481095,97.620181,,,,False,
Thinnball Lae Basic Education Primary School,,Myanmar,MMR,HOTOSM/OSM,16.476911,97.620216,,,school,False,
Chaung Khwa (Basic Education Primary School) Chaung Khwa (Basic Education Primary School,school,Myanmar,MMR,OSM,20.52929,96.10013,,,,False,
Jump Start Preschool,kindergarten,Myanmar,MMR,HOTOSM/OSM,16.458286,97.650452,,,,False,
Primary School,school,Myanmar,MMR,HOTOSM/OSM,16.496847,97.635378,,,,False,
ဘာတန်မူလ ကွာန်ဒဵုထောင်,school,Myanmar,MMR,HOTOSM/OSM,15.920514,98.027846,,,,False,
SEED for Myanmar,school,Myanmar,MMR,HOTOSM/OSM,16.439563,97.641944,,,,False,
ကြူဝန်း အမက,school,Myanmar,MMR,HOTOSM/OSM,20.540358,94.699289,,,,False,
ကြူဝန်း အမက,school,Myanmar,MMR,HOTOSM/OSM,20.598748,94.733839,,,,False,
No 15 B.E.P.S,school,Myanmar,MMR,HOTOSM/OSM,21.973034,96.089053,,,,False,
ကြို့ဝန်း အထက,school,Myanmar,MMR,HOTOSM/OSM,20.475874,94.634035,,,,False,
မူလတန်းကျောင်း,school,Myanmar,MMR,HOTOSM/OSM,20.671144,94.670972,,,,False,
BEHS Kyauk Twe,school,Myanmar,MMR,HOTOSM/OSM,19.022354,93.715994,,,,False,
ကျွဲခြံ အအက,school,Myanmar,MMR,HOTOSM/OSM,20.792984,94.587563,,,,False,
ကျွဲဦး အမက,school,Myanmar,MMR,HOTOSM/OSM,20.755969,94.313502,,,,False,
ကျွဲကျောင်း အမက,school,Myanmar,MMR,HOTOSM/OSM,20.548796,94.674546,,,,False,
အမက,school,Myanmar,MMR,HOTOSM/OSM,20.591041,94.530732,,,,False,
ကျွန်းကလေးရွာ မူလတန်းေကျာင်း,school,Myanmar,MMR,HOTOSM/OSM,20.812995,94.670067,,,,False,
ကျွန်းချောင်း အလက,school,Myanmar,MMR,HOTOSM/OSM,20.815364,94.440786,,,,False,
ကျွန်းတဲ အလက,school,Myanmar,MMR,HOTOSM/OSM,20.682385,94.47947,,,,False,
အမက,school,Myanmar,MMR,HOTOSM/OSM,20.606867,94.530992,,,,False,
ကျောက်တန်း အခြေခံပညာအလယ်တန်းကျောင်း(ခွဲ),school,Myanmar,MMR,HOTOSM/OSM,16.423685,97.618053,,,,False,
Lamtuk Basic Education Post Primary School,school,Myanmar,MMR,HOTOSM/OSM,22.481134,93.799695,,,,False,
B.E.H.S (5) Kamayut,school,Myanmar,MMR,HOTOSM/OSM,16.825436,96.126484,,,,False,
No 38 B.E.P.S,school,Myanmar,MMR,HOTOSM/OSM,21.983793,96.065761,,,,False,
ခင်ဗလူ အမက,school,Myanmar,MMR,HOTOSM/OSM,20.640526,94.44338,,,,False,
နည်းပညာအထက်တန်းကျောင်း,school,Myanmar,MMR,HOTOSM/OSM,14.078473,98.20453,,,,False,
အိမ်းတွင်းမှုသက်မွေးပညာသင်ကျောင်း,school,Myanmar,MMR,HOTOSM/OSM,14.087367,98.179669,,,,False,
အ.လ.က ၃|အ.ထ.က ခွဲ,school,Myanmar,MMR,HOTOSM/OSM,14.080159,98.214403,,,,False,
အ.မ.က မြို့တွင်းရပ်,school,Myanmar,MMR,HOTOSM/OSM,14.075684,98.19165,,,,False,
အ.မ.က အနောက်ရပ်,school,Myanmar,MMR,HOTOSM/OSM,14.074599,98.18936,,,,False,
KMD,school,Myanmar,MMR,HOTOSM/OSM,14.076316,98.189568,,,,False,
အ.မ.က အိုးလုပ်,school,Myanmar,MMR,HOTOSM/OSM,14.07754,98.191468,,,,False,
Edu Park,school,Myanmar,MMR,HOTOSM/OSM,14.084588,98.205509,,,,False,
လေ့ကျင့်ရေးအလယ်တန်းကျောင်း,school,Myanmar,MMR,HOTOSM/OSM,14.076149,98.204083,,,,False,
အ.မ.က ရှမ္မလည်ဆွဲ,school,Myanmar,MMR,HOTOSM/OSM,14.074716,98.20646,,,,False,
Youth Computer Training,school,Myanmar,MMR,HOTOSM/OSM,14.081253,98.192851,,,,False,
အ.မ.က ပုံကျွန်း,school,Myanmar,MMR,HOTOSM/OSM,14.0803,98.191872,,,,False,
ထားဝယ်ပညာရေးစင်တာ,school,Myanmar,MMR,HOTOSM/OSM,14.074264,98.205281,,,,False,
အ.မ.က ဆန်းချီ,school,Myanmar,MMR,HOTOSM/OSM,14.084062,98.192966,,,,False,
Hman Si (Basic Education Middle School) - School Kan Swei,school,Myanmar,MMR,OSM,20.39707,96.19794,,,,False,
ဓူဝံ,school,Myanmar,MMR,HOTOSM/OSM,14.0794,98.190788,,,,False,
စက်မှုလက်မှုပညာသင်တန်းကျောင်း,school,Myanmar,MMR,HOTOSM/OSM,14.085496,98.197813,,,,False,
အ.မ.က ထိန်ဟောင်း,school,Myanmar,MMR,HOTOSM/OSM,14.103112,98.191816,,,,False,
အ.မ.က ကရပ်ပြင်(မ),school,Myanmar,MMR,HOTOSM/OSM,14.075611,98.200436,,,,False,
အ.ထ.က ၆ ထားဝယ်,school,Myanmar,MMR,HOTOSM/OSM,14.077777,98.188758,,,,False,
အ.မ.က ဘုမ္မော်,school,Myanmar,MMR,HOTOSM/OSM,14.068589,98.193032,,,,False,
အ.မ.က ၂ ကြက်စားပြင်,school,Myanmar,MMR,HOTOSM/OSM,14.064771,98.190078,,,,False,
နယ်စပ်ဒေသဖွဲ့ဖြိုးရေးလူငယ်သင်တန်းကျောင်း,school,Myanmar,MMR,HOTOSM/OSM,14.059966,98.19109,,,,False,
အ.မ.က ကျောက်မော်,school,Myanmar,MMR,HOTOSM/OSM,14.072683,98.207904,,,,False,
အ.ထ.က ၁ ထားဝယ်,school,Myanmar,MMR,HOTOSM/OSM,14.073961,98.195334,,,,False,
အ.မ.က ကျောင်းခွဲ,school,Myanmar,MMR,HOTOSM/OSM,14.071526,98.19339,,,,False,
Dawei YEP Center,school,Myanmar,MMR,HOTOSM/OSM,14.083074,98.190223,,,,False,
အ.မ.က အိမ်ရှေ့ပြင်,school,Myanmar,MMR,HOTOSM/OSM,14.109181,98.207721,,,,False,
အ.မ.က ပိန္နဲတော,school,Myanmar,MMR,HOTOSM/OSM,14.078098,98.194569,,,,False,
အ.မ.က တလိုင်းမ,school,Myanmar,MMR,HOTOSM/OSM,14.07505,98.186408,,,,False,
အခြေခံပညာ မူလတန်းကျောင်း (လယ်ကြား),school,Myanmar,MMR,HOTOSM/OSM,20.558654,96.683756,,,,False,
အခြေခံပညာ မူလတန်းကျောင်း (ပန်းဖယ်),school,Myanmar,MMR,HOTOSM/OSM,20.490703,96.628707,,,,False,
အခြေခံပညာ မူလတန်းကျောင်း (ကျောက်ဆင့်),school,Myanmar,MMR,HOTOSM/OSM,20.440471,96.613807,,,,False,
အခြေခံပညာ မူလတန်းကျောင်း (ရှားပင်),school,Myanmar,MMR,HOTOSM/OSM,20.563169,96.581155,,,,False,
Basic Education High School (BEHS),school,Myanmar,MMR,HOTOSM/OSM,20.582273,94.657634,,,,False,
စကျောငယ် အမက,school,Myanmar,MMR,HOTOSM/OSM,20.558956,94.698684,,,,False,
စစ်ဆေးတဲ အမက,school,Myanmar,MMR,HOTOSM/OSM,20.708226,94.585461,,,,False,
စန်းကလေး အက,school,Myanmar,MMR,HOTOSM/OSM,20.837673,94.610196,,,,False,
ဆင်ပွတ်အခြေခံပညာကျောင်း,school,Myanmar,MMR,HOTOSM/OSM,20.535543,94.767113,,,,False,
ရဲကုန်း အမက,school,Myanmar,MMR,HOTOSM/OSM,21.326191,96.158376,,,,False,
Basic Education Primary School (Shargyin) - School,school,Myanmar,MMR,OSM,20.45318,96.06435,,,,False,
စန်းကလေး အမက,school,Myanmar,MMR,HOTOSM/OSM,20.813861,94.605762,,,,False,
စွယ်တည် အမက,school,Myanmar,MMR,HOTOSM/OSM,20.644847,94.48695,,,,False,
စဉ့်တူကန် အမက,school,Myanmar,MMR,HOTOSM/OSM,20.575995,94.742867,,,,False,
Nyaung Pin Kaing (No.149 Basic Education Primary School) - School Htein Kan,school,Myanmar,MMR,OSM,20.41978,96.17677,,,,False,
အ.မ.က ဒေါင်းငူ/တံငါ,school,Myanmar,MMR,HOTOSM/OSM,14.070038,98.187139,,,,False,
အ.မ.က ၂ ကျောင်းခွဲ,school,Myanmar,MMR,HOTOSM/OSM,14.071211,98.194327,,,,False,
အ.မ.က ကရပ်ပြင်(တ),school,Myanmar,MMR,HOTOSM/OSM,14.071159,98.201349,,,,False,
အ.မ.က သင်္ဘောဆိပ်,school,Myanmar,MMR,HOTOSM/OSM,14.071302,98.186601,,,,False,
Light House,school,Myanmar,MMR,HOTOSM/OSM,14.07583,98.200476,,,,False,
အ.မ.က ကျွန်းမွှေးရပ်,school,Myanmar,MMR,HOTOSM/OSM,14.092189,98.191659,,,,False,
အ.မ.က ဆင်ဆိပ်,school,Myanmar,MMR,HOTOSM/OSM,14.11091,98.196157,,,,False,
အ.ထ.က ၇ ထားဝယ်,school,Myanmar,MMR,HOTOSM/OSM,14.102616,98.196269,,,,False,
အ.မ.က မြောင်းပုလဲ,school,Myanmar,MMR,HOTOSM/OSM,14.079361,98.187433,,,,False,
အ.မ.က ဥဿရံ,school,Myanmar,MMR,HOTOSM/OSM,14.08046,98.188326,,,,False,
အ.ထ.က ၃ ထားဝယ်,school,Myanmar,MMR,HOTOSM/OSM,14.073605,98.196941,,,,False,
ALC,school,Myanmar,MMR,HOTOSM/OSM,14.075103,98.195824,,,,False,
အခြေခံပညာ အလယ်တန်းကျောင်း (ကျောက်ဆောင်မြေခြား),school,Myanmar,MMR,HOTOSM/OSM,20.760886,96.627366,,,,False,
အခြေခံပညာ မူလတန်းကျောင်း (ဆောင်ဝန်း),school,Myanmar,MMR,HOTOSM/OSM,20.516911,96.730803,,,,False,
Middle School ( 33) Kamma Village - Middle school,school,Myanmar,MMR,OSM,20.40555,96.03217,,,,False,
အ.လ.က (၅) အင်းစိန် B.E.M.S(5) Insein,school,Myanmar,MMR,HOTOSM/OSM,16.921796,96.098086,,,,False,
ပလောင်း အလက,school,Myanmar,MMR,HOTOSM/OSM,21.463768,94.389757,,,,False,
Basic Education High School (Sub),school,Myanmar,MMR,HOTOSM/OSM,20.728419,94.254072,,,,False,
အမက ကုန်းရွာ,school,Myanmar,MMR,HOTOSM/OSM,21.014268,95.014416,,,,False,
ဒါန်း ကျေးရွာ အထက ခွဲကျောင်း,school,Myanmar,MMR,HOTOSM/OSM,20.87766,94.970834,,,,False,
Bottle school Najoai ( ရေသန့်ဘူး ကျောင်း),school,Myanmar,MMR,HOTOSM/OSM,21.108566,94.880103,,,,False,
အထက - ကင်းသာ,school,Myanmar,MMR,OSM,20.07077,96.30716,,,,False,
အခြေခံပညာမူလတန်းလွန်ကျောင်း,school,Myanmar,MMR,HOTOSM/OSM,21.261554,95.084011,,,,False,
"B.E.M.S, Taung ba School",school,Myanmar,MMR,HOTOSM/OSM,21.123226,94.965601,,,,False,
အထက (၂) တာဟန်း,school,Myanmar,MMR,HOTOSM/OSM,23.196442,94.013744,,,,False,
ဒွေးကုန်း အမက,school,Myanmar,MMR,HOTOSM/OSM,20.686743,94.148298,,,,False,
ကျောက်ပြင်ကန်မူကြိုကျောင်း,kindergarten,Myanmar,MMR,HOTOSM/OSM,21.012337,94.900228,,,,False,
ပင်းလှ အမက,school,Myanmar,MMR,HOTOSM/OSM,20.815419,94.191893,,,,False,
ပဇူ အမက,school,Myanmar,MMR,HOTOSM/OSM,20.575091,94.267945,,,,False,
ပန်းအိညှာ အမက,school,Myanmar,MMR,HOTOSM/OSM,20.770084,94.161346,,,,False,
သာယာကုန်း အခြေခံပညာအလယ်တန်းကျောင်း,school,Myanmar,MMR,HOTOSM/OSM,12.055677,98.930707,,,,False,
စက်စက်ယို မူလတန်းကျောင်း,school,Myanmar,MMR,HOTOSM/OSM,21.05436,95.136234,,,,False,
စံပြ‌ကျေးရွာ မူလတန်းကျောင်း,school,Myanmar,MMR,HOTOSM/OSM,21.019602,95.043742,,,,False,
ဘူး အထက,school,Myanmar,MMR,HOTOSM/OSM,20.653068,94.160353,,,,False,
မဏ္ဍပ်ကိုင်း အထက,school,Myanmar,MMR,HOTOSM/OSM,20.319854,94.320701,,,,False,
မြောက်တော အထက,school,Myanmar,MMR,HOTOSM/OSM,20.96731,95.241398,,,,False,
BEMS Thayet Hnit Khwa,school,Myanmar,MMR,HOTOSM/OSM,13.938782,98.248686,,,,False,
ဇီးကုန်း အထက,school,Myanmar,MMR,HOTOSM/OSM,22.928208,95.558879,,,,False,
အခြေခံပညာအထက်တန်းကျောင်း (ဂျမား) (ဆိပ်ကြီး),school,Myanmar,MMR,HOTOSM/OSM,16.70714,96.241268,,,,False,
အခြေခံပညာမူလတန်းကျောင်း၊ထရိုင်းတော,school,Myanmar,MMR,HOTOSM/OSM,21.013161,95.036516,,,,False,
Dahatkan school,school,Myanmar,MMR,HOTOSM/OSM,20.975626,95.072738,,,,False,
ငလဲ အထက,school,Myanmar,MMR,HOTOSM/OSM,20.618791,94.235393,,,,False,
စင်းချောင်း အလက,school,Myanmar,MMR,HOTOSM/OSM,20.864779,94.080851,,,,False,
ထန်းကိုင်း အမက,school,Myanmar,MMR,HOTOSM/OSM,20.198502,94.361889,,,,False,
တောင်တော အထက်တန်းကျောင်း,school,Myanmar,MMR,HOTOSM/OSM,21.073927,95.136882,,,,False,
မူလွန်-စည်ပင်သာ,school,Myanmar,MMR,HOTOSM/OSM,20.894563,94.969769,,,,False,
Kyauk Phoo High School,school,Myanmar,MMR,HOTOSM/OSM,18.666101,95.000301,,,,False,
အခြေခံပညာ အထက်တန်းကျောင်း (ကူတော),school,Myanmar,MMR,HOTOSM/OSM,21.058581,95.178651,,,,False,
ထန်းတော အမက,school,Myanmar,MMR,HOTOSM/OSM,21.781641,94.407201,,,,False,
"Basic Education Primary School, Htan Ma Kauk Village",school,Myanmar,MMR,HOTOSM/OSM,21.363882,94.601456,,,,False,
အထက,school,Myanmar,MMR,HOTOSM/OSM,20.424434,94.275054,,,,False,
အ.ထ.က ကြအို,school,Myanmar,MMR,HOTOSM/OSM,21.008391,94.863505,,,,False,
The British School Yangon (Yangon-Insein Campus),school,Myanmar,MMR,HOTOSM/OSM,16.84435,96.122883,,,,False,
Basic Education High School Kyauk Pyin Kan,school,Myanmar,MMR,HOTOSM/OSM,21.01158,94.904682,,,,False,
ကျွန်းခင်းကြီးအထကခွဲ,school,Myanmar,MMR,HOTOSM/OSM,20.918948,95.106023,,,,False,
ကျွန်းဘိုကန်ကျေးရွာမူလတန်းလွန်ကျောင်း,school,Myanmar,MMR,HOTOSM/OSM,20.924448,94.916582,,,,False,
အ.မ.က (ကျောက်ကန်),school,Myanmar,MMR,HOTOSM/OSM,21.067036,94.908822,,,,False,
BEPS Pyaw Vwe,school,Myanmar,MMR,HOTOSM/OSM,21.042427,94.856576,,,,False,
Kan Ni Pauk B.E.H.S,school,Myanmar,MMR,HOTOSM/OSM,21.063379,94.905596,,,,False,
မြို့မအထက်တန်းကျောင်း,school,Myanmar,MMR,HOTOSM/OSM,18.683449,95.015614,,,,False,
ထန်းတပင် အမက,school,Myanmar,MMR,HOTOSM/OSM,21.469327,94.44612,,,,False,
ကံပြား အထက,school,Myanmar,MMR,HOTOSM/OSM,20.531082,94.44655,,,,False,
သက္ကယ်ကျင်းရွာ မူလတန်းကျောင်း,school,Myanmar,MMR,HOTOSM/OSM,19.894692,95.011062,,,,False,
Basic Education Hight School (Tet Ma),school,Myanmar,MMR,HOTOSM/OSM,20.958428,94.989609,,,,False,
စက အမက မူလတန်းကျောင်း,school,Myanmar,MMR,HOTOSM/OSM,21.014315,94.869472,,,,False,
Zee Sarr Myin (Middle School),school,Myanmar,MMR,HOTOSM/OSM,21.01899,94.936663,,,,False,
ပုံဆိပ် အထက,school,Myanmar,MMR,HOTOSM/OSM,20.513228,94.205907,,,,False,
မြစ်ကျင်း အမက,school,Myanmar,MMR,HOTOSM/OSM,20.751586,94.240452,,,,False,
တံစူးရွာ မူလတန်းကျောင်း,school,Myanmar,MMR,HOTOSM/OSM,21.294995,94.321253,,,,False,
ညောင်ရင်း အထက,school,Myanmar,MMR,HOTOSM/OSM,21.588211,94.437107,,,,False,
တင်ငုတ်ပြင် အထက,school,Myanmar,MMR,HOTOSM/OSM,21.483325,94.673759,,,,False,
တယ်ပင်ကန် အမက,school,Myanmar,MMR,HOTOSM/OSM,21.402215,94.535584,,,,False,
