name,amenity,country,iso3,source,latitude,longitude,addr_city,operator,building,near_hotspot,hotspot_info
مدرسة بيت المقدس الأساسية,school,Palestine,PSE,HOTOSM/OSM,31.813683,35.262922,,,,True,Ramallah and Al Bireh (150 events)
مدرسة سعاد النتشة,school,Palestine,PSE,HOTOSM/OSM,31.538665,35.076038,,,,True,Hebron (147 events)
Iz Aldeen Boys School,school,Palestine,PSE,HOTOSM/OSM,32.464088,35.308237,,,,True,Jenin (43 events)
Alreyad School,school,Palestine,PSE,HOTOSM/OSM,32.453121,35.286908,,,,True,Jenin (43 events)
UNRWA School,school,Palestine,PSE,HOTOSM/OSM,32.464499,35.284669,,,,True,Jenin (43 events)
Vocational Training Center,school,Palestine,PSE,HOTOSM/OSM,32.465593,35.306663,,,,True,Jenin (43 events)
Vocational Training Center,school,Palestine,PSE,HOTOSM/OSM,32.463848,35.310539,,,,True,Jenin (43 events)
Al`mereyeh Boys School,school,Palestine,PSE,HOTOSM/OSM,32.465609,35.307708,,,,True,Jenin (43 events)
Al-Eman School,school,Palestine,PSE,HOTOSM/OSM,32.465714,35.298794,,,,True,Jenin (43 events)
Alibrahemeya Girls School,school,Palestine,PSE,HOTOSM/OSM,32.463946,35.311332,,,,True,Jenin (43 events)
Alsalam School,school,Palestine,PSE,HOTOSM/OSM,32.465281,35.309617,,,,True,Jenin (43 events)
Youssef Elementary Shool for boys,school,Palestine,PSE,HOTOSM/OSM,32.465134,35.307631,,,,True,Jenin (43 events)
ישיבת אור תורה סטון,school,Palestine,PSE,HOTOSM/OSM,31.652983,35.150726,,,,True,Bethlehem (68 events)
مدرسة عسقلان,school,Palestine,PSE,HOTOSM/OSM,31.312946,34.332559,,,,True,Khan Yunis (9 events)
روضة الفردوس والزهراء,kindergarten,Palestine,PSE,HOTOSM/OSM,31.355369,34.296125,,,,True,Khan Yunis (9 events)
Al-Shate'e Children Kindergarten,kindergarten,Palestine,PSE,HOTOSM/OSM,31.536574,34.449239,,,,True,Gaza City (9 events)
