Country,Month,Year,Events,Fatalities
South Africa,January,1997,1,4
South Africa,February,1997,3,6
South Africa,March,1997,2,2
South Africa,April,1997,2,1
South Africa,May,1997,1,0
South Africa,June,1997,0,0
South Africa,July,1997,1,5
South Africa,August,1997,0,0
South Africa,September,1997,1,7
South Africa,October,1997,4,15
South Africa,November,1997,5,22
South Africa,December,1997,0,0
South Africa,January,1998,1,11
South Africa,February,1998,1,0
South Africa,March,1998,0,0
South Africa,April,1998,1,1
South Africa,May,1998,5,13
South Africa,June,1998,3,9
South Africa,July,1998,4,29
South Africa,August,1998,3,6
South Africa,September,1998,2,4
South Africa,October,1998,8,7
South Africa,November,1998,2,4
South Africa,December,1998,3,6
South Africa,January,1999,6,15
South Africa,February,1999,6,12
South Africa,March,1999,3,5
South Africa,April,1999,1,4
South Africa,May,1999,3,5
South Africa,June,1999,2,2
South Africa,July,1999,1,0
South Africa,August,1999,0,0
South Africa,September,1999,3,12
South Africa,October,1999,0,0
South Africa,November,1999,4,7
South Africa,December,1999,1,0
South Africa,January,2000,3,7
South Africa,February,2000,1,0
South Africa,March,2000,0,0
South Africa,April,2000,2,2
South Africa,May,2000,1,0
South Africa,June,2000,6,2
South Africa,July,2000,2,1
South Africa,August,2000,3,0
South Africa,September,2000,3,1
South Africa,October,2000,5,12
South Africa,November,2000,3,4
South Africa,December,2000,2,7
South Africa,January,2001,1,0
South Africa,February,2001,2,4
South Africa,March,2001,4,3
South Africa,April,2001,0,0
South Africa,May,2001,1,0
South Africa,June,2001,0,0
South Africa,July,2001,3,8
South Africa,August,2001,2,0
South Africa,September,2001,1,0
South Africa,October,2001,2,0
South Africa,November,2001,0,0
South Africa,December,2001,2,1
South Africa,January,2002,2,7
South Africa,February,2002,1,3
South Africa,March,2002,0,0
South Africa,April,2002,0,0
South Africa,May,2002,0,0
South Africa,June,2002,1,5
South Africa,July,2002,1,4
South Africa,August,2002,1,0
South Africa,September,2002,0,0
South Africa,October,2002,6,5
South Africa,November,2002,3,0
South Africa,December,2002,1,0
South Africa,January,2003,2,8
South Africa,February,2003,0,0
South Africa,March,2003,0,0
South Africa,April,2003,0,0
South Africa,May,2003,3,4
South Africa,June,2003,1,3
South Africa,July,2003,0,0
South Africa,August,2003,0,0
South Africa,September,2003,3,1
South Africa,October,2003,0,0
South Africa,November,2003,1,0
South Africa,December,2003,0,0
South Africa,January,2004,5,11
South Africa,February,2004,3,1
South Africa,March,2004,2,1
South Africa,April,2004,3,5
South Africa,May,2004,0,0
South Africa,June,2004,0,0
South Africa,July,2004,0,0
South Africa,August,2004,2,4
South Africa,September,2004,0,0
South Africa,October,2004,0,0
South Africa,November,2004,1,1
South Africa,December,2004,2,4
South Africa,January,2005,1,1
South Africa,February,2005,0,0
South Africa,March,2005,2,2
South Africa,April,2005,0,0
South Africa,May,2005,0,0
South Africa,June,2005,0,0
South Africa,July,2005,0,0
South Africa,August,2005,0,0
South Africa,September,2005,2,1
South Africa,October,2005,0,0
South Africa,November,2005,1,1
South Africa,December,2005,0,0
South Africa,January,2006,1,2
South Africa,February,2006,2,1
South Africa,March,2006,0,0
South Africa,April,2006,1,8
South Africa,May,2006,0,0
South Africa,June,2006,0,0
South Africa,July,2006,1,1
South Africa,August,2006,1,2
South Africa,September,2006,0,0
South Africa,October,2006,0,0
South Africa,November,2006,0,0
