country_name,World Bank income group,Is student attendance recorded?,Can individual students who received school feeding be linked to attendance?,Describe impacts of school feeding on students,Did your country have a national school feeding program?,total_children_fed,pct_coverage,prop_preschool_fed,prop_primary_fed,prop_secondary_fed,prop_preschool_students_fed,prop_primary_students_fed,prop_secondary_students_fed,Fatalities,Events
Ecuador,Upper middle income,No,,Estudio de evaluación de impacto de incremento de matrícula de Dirección de Investigación del MINEDUC. Estudio Cerrando Brecha de Nutrientes del PMA. ,Yes,,,,,,,,,,
El Salvador,Lower middle income,Yes,Yes,,Yes,,,,,,,,,,
Equatorial Guinea,Upper middle income,,,,No,,,,,,,,,,
Estonia,High income,Yes,,,Yes,,,,,,,,,,
Ethiopia,Low income,,Yes,"Evaluation of Addis Ababa school feeding program has been conducted. In the research, the effectiveness of SFP on educational outcomes relating to motivation to learn, enrollment in school, attentiveness and attendance, and educational attainment are discussed and the study showed the positive impact of School feeding program on enrollment rates and a negative impact on dropout rates. Dropout rates fell by 12% while overall enrollment increased by 15%. ",Yes,,,,,,,,,19460.0,4561.0
Finland,High income,Yes,,,Yes,,,,,,,,,,
France,High income,No,,"Les repas servis en restauration scolaire sont de meilleure qualité nutritionnelle que ceux servis dans d'autres catégories de restauration hors foyer, dans l'étude INCA3 (Anses, 2014-2015)",Yes,,,,,,,,,,
Gambia,Low income,Yes,Yes,"Improved completion rate
improved attendance
Improved performance",Yes,261231.0,33.6545295715332,20.125438690185547,50.77342224121094,11.95310115814209,23.583202362060547,85.38887786865234,16.008277893066406,,
Georgia,Upper middle income,,,,No,,,,,,,,,,
Ghana,Lower middle income,Yes,,,Yes,3448065.0,28.2065372467041,57.88267135620117,56.79556655883789,0.0,49.840118408203125,54.90571212768555,0.0,,
Greece,High income,Yes,,"The results gathered so far indicate that in schools where the DIATROFI Program is implemented:
. food insecurity has decreased
. children’s eating habits have improved
. the number of underweight, as well as overweight and obese, children has decreased.",Yes,,,,,,,,,,
Grenada,Upper middle income,Yes,,,Yes,,,,,,,,,,
Guatemala,Upper middle income,Yes,,"En el 2019, se realizó el Diagnostico Técnico del Programa de Alimentación Escolar.
El estudio de peso y talla en escolares de 2019.
",Yes,,,,,,,,,,
