Country,Admin1,Admin2,ISO3,Admin2 Pcode,Admin1 Pcode,Month,Year,Events,Fatalities
Syria,Deir ez Zor,Al Mayadin,SYR,SY0903,SY09,February,2017,7,9
Syria,Tartous,Qadmous,SYR,SY1006,SY10,February,2017,0,0
Syria,Damascus,Damascus,SYR,SY0100,SY01,February,2017,33,76
Syria,Dara,Dara,SYR,SY1200,SY12,February,2017,63,130
Syria,Hama,As Suqaylabiyah,SYR,SY0502,SY05,February,2017,22,34
Syria,Homs,Al Makhrim,SYR,SY0406,SY04,February,2017,0,0
Syria,Lattakia,Al Qardaha,SYR,SY0604,SY06,February,2017,0,0
Syria,Lattakia,Lattakia,SYR,SY0600,SY06,February,2017,0,0
Syria,Rural Damascus,Darayya,SYR,SY0309,SY03,February,2017,0,0
Syria,Tartous,Banyas,SYR,SY1002,SY10,February,2017,0,0
Syria,Tartous,Safita,SYR,SY1003,SY10,February,2017,0,0
Syria,Tartous,Tartous,SYR,SY1000,SY10,February,2017,0,0
Syria,Aleppo,Afrin,SYR,SY0203,SY02,February,2017,1,0
Syria,Dara,As Sanamayn,SYR,SY1202,SY12,February,2017,0,0
Syria,Dara,Izra,SYR,SY1203,SY12,February,2017,8,126
Syria,Aleppo,Al Bab,SYR,SY0202,SY02,February,2017,42,240
Syria,Aleppo,As Safira,SYR,SY0207,SY02,February,2017,4,10
Syria,Hama,Masyaf,SYR,SY0504,SY05,February,2017,0,0
Syria,Homs,Homs,SYR,SY0401,SY04,February,2017,41,175
Syria,Homs,Tadmor,SYR,SY0405,SY04,February,2017,1,4
Syria,Idleb,Ariha,SYR,SY0705,SY07,February,2017,3,45
Syria,Lattakia,Al Haffa,SYR,SY0603,SY06,February,2017,2,11
Syria,Lattakia,Jablah,SYR,SY0602,SY06,February,2017,1,3
Syria,Rural Damascus,Al Qutayfah,SYR,SY0303,SY03,February,2017,1,1
Syria,Rural Damascus,Rural Damascus,SYR,SY0301,SY03,February,2017,12,5
Syria,Tartous,Sheikh Badr,SYR,SY1005,SY10,February,2017,0,0
Syria,Al Hasakeh,Al Hasakeh,SYR,SY0800,SY08,February,2017,7,4
Syria,Ar Raqqa,Ath Thawrah,SYR,SY1103,SY11,February,2017,11,43
Syria,As Sweida,Shahba,SYR,SY1303,SY13,February,2017,0,0
Syria,Deir ez Zor,Deir ez Zor,SYR,SY0901,SY09,February,2017,23,134
Syria,Homs,Al Qusayr,SYR,SY0402,SY04,February,2017,0,0
Syria,Homs,Ar Rastan,SYR,SY0404,SY04,February,2017,19,13
Syria,Al Hasakeh,Ras Al Ain,SYR,SY0804,SY08,February,2017,1,1
Syria,Aleppo,Jarablus,SYR,SY0208,SY02,February,2017,2,2
Syria,Aleppo,Jebel Saman,SYR,SY0200,SY02,February,2017,46,100
Syria,Ar Raqqa,Tell Abiad,SYR,SY1102,SY11,February,2017,3,19
Syria,As Sweida,As Sweida,SYR,SY1300,SY13,February,2017,1,1
Syria,Deir ez Zor,Abu Kamal,SYR,SY0902,SY09,February,2017,1,1
Syria,Hama,Hama,SYR,SY0501,SY05,February,2017,24,81
Syria,Idleb,Al Mara,SYR,SY0702,SY07,February,2017,22,77
Syria,Idleb,Harim,SYR,SY0703,SY07,February,2017,2,1
Syria,Idleb,Jisr Ash Shugur,SYR,SY0704,SY07,February,2017,8,9
Syria,Rural Damascus,An Nabk,SYR,SY0306,SY03,February,2017,0,0
Syria,Rural Damascus,Duma,SYR,SY0302,SY03,February,2017,40,119
Syria,Aleppo,Menbij,SYR,SY0205,SY02,March,2017,23,68
Syria,Ar Raqqa,Ar Raqqa,SYR,SY1101,SY11,March,2017,95,247
Syria,Hama,As Salamiyeh,SYR,SY0503,SY05,March,2017,8,11
Syria,Homs,Tall Kalakh,SYR,SY0403,SY04,March,2017,0,0
Syria,Rural Damascus,Az Zabdani,SYR,SY0307,SY03,March,2017,30,20
Syria,Aleppo,Ain Al Arab,SYR,SY0206,SY02,March,2017,2,3
Syria,Aleppo,Azaz,SYR,SY0204,SY02,March,2017,6,14
Syria,Hama,Muhradah,SYR,SY0505,SY05,March,2017,18,29
Syria,Idleb,Idleb,SYR,SY0700,SY07,March,2017,21,110
Syria,Quneitra,Al Fiq,SYR,SY1402,SY14,March,2017,0,0
Syria,Quneitra,Quneitra,SYR,SY1400,SY14,March,2017,2,2
Syria,Rural Damascus,At Tall,SYR,SY0304,SY03,March,2017,12,12
Syria,Rural Damascus,Qatana,SYR,SY0308,SY03,March,2017,0,0
Syria,Rural Damascus,Yabroud,SYR,SY0305,SY03,March,2017,0,0
Syria,Tartous,Dreikish,SYR,SY1004,SY10,March,2017,0,0
Syria,Al Hasakeh,Al Malikeyyeh,SYR,SY0803,SY08,March,2017,1,1
Syria,Al Hasakeh,Quamishli,SYR,SY0802,SY08,March,2017,3,1
Syria,As Sweida,Salkhad,SYR,SY1302,SY13,March,2017,0,0
Syria,Deir ez Zor,Al Mayadin,SYR,SY0903,SY09,March,2017,7,25
Syria,Tartous,Qadmous,SYR,SY1006,SY10,March,2017,0,0
Syria,Damascus,Damascus,SYR,SY0100,SY01,March,2017,22,171
Syria,Dara,Dara,SYR,SY1200,SY12,March,2017,40,59
Syria,Hama,As Suqaylabiyah,SYR,SY0502,SY05,March,2017,6,6
Syria,Homs,Al Makhrim,SYR,SY0406,SY04,March,2017,0,0
Syria,Lattakia,Al Qardaha,SYR,SY0604,SY06,March,2017,0,0
Syria,Lattakia,Lattakia,SYR,SY0600,SY06,March,2017,1,0
Syria,Rural Damascus,Darayya,SYR,SY0309,SY03,March,2017,0,0
Syria,Tartous,Banyas,SYR,SY1002,SY10,March,2017,0,0
Syria,Tartous,Safita,SYR,SY1003,SY10,March,2017,0,0
Syria,Tartous,Tartous,SYR,SY1000,SY10,March,2017,0,0
Syria,Aleppo,Afrin,SYR,SY0203,SY02,March,2017,2,2
Syria,Dara,As Sanamayn,SYR,SY1202,SY12,March,2017,1,1
Syria,Dara,Izra,SYR,SY1203,SY12,March,2017,9,11
Syria,Aleppo,Al Bab,SYR,SY0202,SY02,March,2017,23,67
Syria,Aleppo,As Safira,SYR,SY0207,SY02,March,2017,1,3
Syria,Hama,Masyaf,SYR,SY0504,SY05,March,2017,1,0
Syria,Homs,Homs,SYR,SY0401,SY04,March,2017,15,38
Syria,Homs,Tadmor,SYR,SY0405,SY04,March,2017,0,0
Syria,Idleb,Ariha,SYR,SY0705,SY07,March,2017,6,7
Syria,Lattakia,Al Haffa,SYR,SY0603,SY06,March,2017,1,0
Syria,Lattakia,Jablah,SYR,SY0602,SY06,March,2017,0,0
Syria,Rural Damascus,Al Qutayfah,SYR,SY0303,SY03,March,2017,0,0
Syria,Rural Damascus,Rural Damascus,SYR,SY0301,SY03,March,2017,68,143
Syria,Tartous,Sheikh Badr,SYR,SY1005,SY10,March,2017,0,0
Syria,Al Hasakeh,Al Hasakeh,SYR,SY0800,SY08,March,2017,6,3
Syria,Ar Raqqa,Ath Thawrah,SYR,SY1103,SY11,March,2017,32,194
Syria,As Sweida,Shahba,SYR,SY1303,SY13,March,2017,0,0
Syria,Deir ez Zor,Deir ez Zor,SYR,SY0901,SY09,March,2017,28,80
Syria,Homs,Al Qusayr,SYR,SY0402,SY04,March,2017,1,1
Syria,Homs,Ar Rastan,SYR,SY0404,SY04,March,2017,17,14
Syria,Al Hasakeh,Ras Al Ain,SYR,SY0804,SY08,March,2017,1,0
Syria,Aleppo,Jarablus,SYR,SY0208,SY02,March,2017,2,2
Syria,Aleppo,Jebel Saman,SYR,SY0200,SY02,March,2017,39,144
Syria,Ar Raqqa,Tell Abiad,SYR,SY1102,SY11,March,2017,10,24
Syria,As Sweida,As Sweida,SYR,SY1300,SY13,March,2017,0,0
Syria,Deir ez Zor,Abu Kamal,SYR,SY0902,SY09,March,2017,5,7
Syria,Hama,Hama,SYR,SY0501,SY05,March,2017,12,8
Syria,Idleb,Al Mara,SYR,SY0702,SY07,March,2017,43,126
Syria,Idleb,Harim,SYR,SY0703,SY07,March,2017,3,13
Syria,Idleb,Jisr Ash Shugur,SYR,SY0704,SY07,March,2017,26,63
Syria,Rural Damascus,An Nabk,SYR,SY0306,SY03,March,2017,1,0
Syria,Rural Damascus,Duma,SYR,SY0302,SY03,March,2017,56,78
Syria,Aleppo,Menbij,SYR,SY0205,SY02,April,2017,7,12
Syria,Ar Raqqa,Ar Raqqa,SYR,SY1101,SY11,April,2017,78,175
Syria,Hama,As Salamiyeh,SYR,SY0503,SY05,April,2017,6,3
Syria,Homs,Tall Kalakh,SYR,SY0403,SY04,April,2017,0,0
Syria,Rural Damascus,Az Zabdani,SYR,SY0307,SY03,April,2017,1,1
Syria,Aleppo,Ain Al Arab,SYR,SY0206,SY02,April,2017,0,0
Syria,Aleppo,Azaz,SYR,SY0204,SY02,April,2017,6,2
Syria,Hama,Muhradah,SYR,SY0505,SY05,April,2017,62,113
Syria,Idleb,Idleb,SYR,SY0700,SY07,April,2017,39,71
Syria,Quneitra,Al Fiq,SYR,SY1402,SY14,April,2017,0,0
Syria,Quneitra,Quneitra,SYR,SY1400,SY14,April,2017,3,5
Syria,Rural Damascus,At Tall,SYR,SY0304,SY03,April,2017,9,9
Syria,Rural Damascus,Qatana,SYR,SY0308,SY03,April,2017,3,2
Syria,Rural Damascus,Yabroud,SYR,SY0305,SY03,April,2017,0,0
Syria,Tartous,Dreikish,SYR,SY1004,SY10,April,2017,0,0
Syria,Al Hasakeh,Al Malikeyyeh,SYR,SY0803,SY08,April,2017,1,10
Syria,Al Hasakeh,Quamishli,SYR,SY0802,SY08,April,2017,4,3
Syria,As Sweida,Salkhad,SYR,SY1302,SY13,April,2017,1,1
Syria,Deir ez Zor,Al Mayadin,SYR,SY0903,SY09,April,2017,9,42
Syria,Tartous,Qadmous,SYR,SY1006,SY10,April,2017,0,0
Syria,Damascus,Damascus,SYR,SY0100,SY01,April,2017,29,24
Syria,Dara,Dara,SYR,SY1200,SY12,April,2017,38,59
Syria,Hama,As Suqaylabiyah,SYR,SY0502,SY05,April,2017,12,19
Syria,Homs,Al Makhrim,SYR,SY0406,SY04,April,2017,0,0
Syria,Lattakia,Al Qardaha,SYR,SY0604,SY06,April,2017,0,0
Syria,Lattakia,Lattakia,SYR,SY0600,SY06,April,2017,0,0
Syria,Rural Damascus,Darayya,SYR,SY0309,SY03,April,2017,1,1
Syria,Tartous,Banyas,SYR,SY1002,SY10,April,2017,0,0
Syria,Tartous,Safita,SYR,SY1003,SY10,April,2017,0,0
Syria,Tartous,Tartous,SYR,SY1000,SY10,April,2017,0,0
Syria,Aleppo,Afrin,SYR,SY0203,SY02,April,2017,1,1
Syria,Dara,As Sanamayn,SYR,SY1202,SY12,April,2017,3,5
Syria,Dara,Izra,SYR,SY1203,SY12,April,2017,7,6
Syria,Aleppo,Al Bab,SYR,SY0202,SY02,April,2017,3,4
Syria,Aleppo,As Safira,SYR,SY0207,SY02,April,2017,4,2
Syria,Hama,Masyaf,SYR,SY0504,SY05,April,2017,1,1
Syria,Homs,Homs,SYR,SY0401,SY04,April,2017,24,23
Syria,Homs,Tadmor,SYR,SY0405,SY04,April,2017,1,1
Syria,Idleb,Ariha,SYR,SY0705,SY07,April,2017,18,64
Syria,Lattakia,Al Haffa,SYR,SY0603,SY06,April,2017,0,0
Syria,Lattakia,Jablah,SYR,SY0602,SY06,April,2017,0,0
Syria,Rural Damascus,Al Qutayfah,SYR,SY0303,SY03,April,2017,1,5
Syria,Rural Damascus,Rural Damascus,SYR,SY0301,SY03,April,2017,56,108
Syria,Tartous,Sheikh Badr,SYR,SY1005,SY10,April,2017,0,0
Syria,Al Hasakeh,Al Hasakeh,SYR,SY0800,SY08,April,2017,8,18
Syria,Ar Raqqa,Ath Thawrah,SYR,SY1103,SY11,April,2017,58,168
Syria,As Sweida,Shahba,SYR,SY1303,SY13,April,2017,1,1
Syria,Deir ez Zor,Deir ez Zor,SYR,SY0901,SY09,April,2017,24,149
Syria,Homs,Al Qusayr,SYR,SY0402,SY04,April,2017,0,0
Syria,Homs,Ar Rastan,SYR,SY0404,SY04,April,2017,19,17
Syria,Al Hasakeh,Ras Al Ain,SYR,SY0804,SY08,April,2017,4,0
Syria,Aleppo,Jarablus,SYR,SY0208,SY02,April,2017,5,4
Syria,Aleppo,Jebel Saman,SYR,SY0200,SY02,April,2017,53,342
Syria,Ar Raqqa,Tell Abiad,SYR,SY1102,SY11,April,2017,3,5
Syria,As Sweida,As Sweida,SYR,SY1300,SY13,April,2017,0,0
Syria,Deir ez Zor,Abu Kamal,SYR,SY0902,SY09,April,2017,4,36
Syria,Hama,Hama,SYR,SY0501,SY05,April,2017,64,44
Syria,Idleb,Al Mara,SYR,SY0702,SY07,April,2017,62,248
Syria,Idleb,Harim,SYR,SY0703,SY07,April,2017,14,117
Syria,Idleb,Jisr Ash Shugur,SYR,SY0704,SY07,April,2017,36,67
Syria,Rural Damascus,An Nabk,SYR,SY0306,SY03,April,2017,0,0
Syria,Rural Damascus,Duma,SYR,SY0302,SY03,April,2017,48,86
Syria,Aleppo,Menbij,SYR,SY0205,SY02,May,2017,12,75
Syria,Ar Raqqa,Ar Raqqa,SYR,SY1101,SY11,May,2017,122,354
Syria,Hama,As Salamiyeh,SYR,SY0503,SY05,May,2017,27,92
Syria,Homs,Tall Kalakh,SYR,SY0403,SY04,May,2017,0,0
Syria,Rural Damascus,Az Zabdani,SYR,SY0307,SY03,May,2017,2,0
Syria,Aleppo,Ain Al Arab,SYR,SY0206,SY02,May,2017,0,0
Syria,Aleppo,Azaz,SYR,SY0204,SY02,May,2017,9,5
Syria,Hama,Muhradah,SYR,SY0505,SY05,May,2017,16,25
Syria,Idleb,Idleb,SYR,SY0700,SY07,May,2017,9,6
Syria,Quneitra,Al Fiq,SYR,SY1402,SY14,May,2017,0,0
Syria,Quneitra,Quneitra,SYR,SY1400,SY14,May,2017,0,0
Syria,Rural Damascus,At Tall,SYR,SY0304,SY03,May,2017,10,13
Syria,Rural Damascus,Qatana,SYR,SY0308,SY03,May,2017,4,8
Syria,Rural Damascus,Yabroud,SYR,SY0305,SY03,May,2017,0,0
