"year","ISO","ISO_No","Country_N","Adm_N","GID_1","HASC","PWC_Lat","PWC_Lon","Pop","Density","Area","PWD_A","PWD_G","PWD_M","PWD_D1","PWD_D2","PWD_D3","PWD_D4","PWD_D5","PWD_D6","PWD_D7","PWD_D8","PWD_D9","PWD_D10"
"2000","RUS","643","Russia","Adygey","RUS.1_1","RU.AD","44.7686424255371","39.8009262084961","520705","67.4","7729.6","1173.4","440.8","597.4","32.5","94.1","207.1","368.6","597.4","968.7","1558.2","2284.9","3421.4","5205.3"
"2000","RUS","643","Russia","Altay","RUS.2_1","RU.AL","52.8255195617676","83.0385665893555","2666524","16.3","164028.3","1728.2","343.7","594.0","6.4","38.6","135.5","324.0","594.0","1053.4","1853.2","3173.3","5437.3","10083.8"
"2000","RUS","643","Russia","Amur","RUS.3_1","RU.AM","51.220329284668","127.760643005371","925299","2.6","359715.5","1328.6","217.4","387.5","4.0","24.4","74.2","188.1","387.5","738.6","1299.8","2460.5","5009.5","6745.8"
"2000","RUS","643","Russia","Arkhangel'sk","RUS.4_1","RU.AR","63.433406829834","41.7575225830078","1321036","3.3","394988.9","1738.1","316.9","746.1","6.1","30.7","91.3","288.4","746.1","1418.3","2383.0","3721.8","5338.7","7823.1"
"2000","RUS","643","Russia","Astrakhan'","RUS.5_1","RU.AS","46.6168632507324","47.7468910217285","1001751","22.5","44467.4","2336.2","580.1","1421.2","16.1","63.6","193.8","525.0","1421.2","2412.1","3289.9","4930.5","6793.3","8204.2"
"2000","RUS","643","Russia","Bashkortostan","RUS.6_1","RU.BK","54.4277305603027","55.9255981445312","4118907","28.8","142972.6","1929.9","401.7","604.0","11.4","42.8","144.3","316.1","604.0","1120.6","2045.7","3506.2","6465.8","11362.1"
"2000","RUS","643","Russia","Belgorod","RUS.7_1","RU.BL","50.752124786377","37.2317886352539","1524737","54.1","28182.2","1113.6","313.3","396.8","19.4","58.8","128.1","241.6","396.8","594.7","927.6","1744.8","3538.3","8071.0"
"2000","RUS","643","Russia","Bryansk","RUS.8_1","RU.BR","53.0415077209473","33.7058906555176","1406275","41.3","34077.2","2415.2","555.4","1023.8","13.3","56.8","188.7","467.8","1023.8","1945.9","3233.1","4477.9","7157.4","12553.5"
"2000","RUS","643","Russia","Buryat","RUS.9_1","RU.BU","51.9848289489746","107.612686157227","987437","3.0","329967.4","1530.3","179.3","280.1","2.4","12.5","43.1","105.1","280.1","776.9","1586.1","3037.0","5399.0","8320.6"
"2000","RUS","643","Russia","Chechnya","RUS.10_1","RU.CN","43.2730255126953","45.8141441345215","1027304","68.1","15078.4","514.0","242.2","276.8","38.6","74.7","119.8","181.5","276.8","416.4","606.6","869.5","1316.8","4982.4"
